result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_410_5.aux,410,0,410,164,209,0,611,164,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_210_2.aux,210,0,210,84,96,0,324,84,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_210_1.aux,210,0,210,84,101,0,319,84,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_7.aux,60,0,60,24,28,0,92,24,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_110_7.aux,110,0,110,44,61,0,159,44,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_260_6.aux,260,0,260,104,146,0,374,104,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_260_10.aux,260,0,260,104,117,0,403,104,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_10_1.aux,10,0,10,4,4,0,16,4,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_160_6.aux,160,0,160,64,81,0,239,64,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_210_8.aux,210,0,210,84,116,0,304,84,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_260_9.aux,260,0,260,104,132,0,388,104,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_410_9.aux,410,0,410,164,216,0,604,164,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_410_7.aux,410,0,410,164,225,0,595,164,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_10_6.aux,10,0,10,4,6,0,14,4,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_360_3.aux,360,0,360,144,195,0,525,144,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_310_1.aux,310,0,310,124,169,0,451,124,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_310_9.aux,310,0,310,124,150,0,470,124,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_460_4.aux,460,0,460,184,218,0,702,184,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_5.aux,60,0,60,24,33,0,87,24,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_360_9.aux,360,0,360,144,184,0,536,144,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_6.aux,60,0,60,24,27,0,93,24,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_360_7.aux,360,0,360,144,188,0,532,144,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_460_3.aux,460,0,460,184,222,0,698,184,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_110_2.aux,110,0,110,44,45,0,175,44,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_160_7.aux,160,0,160,64,79,0,241,64,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_110_9.aux,110,0,110,44,58,0,162,44,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_3.aux,60,0,60,24,26,0,94,24,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_8.aux,60,0,60,24,30,0,90,24,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_210_10.aux,210,0,210,84,99,0,321,84,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_110_1.aux,110,0,110,44,50,0,170,44,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_160_9.aux,160,0,160,64,77,0,243,64,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_410_3.aux,410,0,410,164,212,0,608,164,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_410_8.aux,410,0,410,164,211,0,609,164,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_210_4.aux,210,0,210,84,115,0,305,84,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_260_8.aux,260,0,260,104,143,0,377,104,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_460_5.aux,460,0,460,184,216,0,704,184,0,0,
result,/home/henri/Downloads/collection_min_min_name_based/general-bilevel/mixed-integer/XUWANG/bmilplib_60_10.aux,60,0,60,24,25,0,95,24,0,0,
