OR5x500-0.75_3.dat-50,MibS,3600.05,108375.0
interKP-100-100-3-7,MibS,3600.0,3313.0
OR30x100-0.50_1.dat-0,MibS,-1,None
BCPIns_8_9_1.txt_trad.txt_K7,MibS,1681.18,3.0
moore90,MibS,0.46,-22.0
interKP-400-100-2-9,MibS,3600.07,7029.0
OR30x250-0.25_1.dat-0,MibS,-1,None
interKP-200-100-3-1,MibS,3600.0,1327.0
OR10x100-0.50_6.dat-50,MibS,3600.0,36475.0
OR10x500-0.75_1.dat-100,MibS,3600.09,107358.0
neos-631710_50_50,MibS,-1,None
OR5x250-0.50_7.dat-50,MibS,3600.01,84404.0
OR5x500-0.75_6.dat-50,MibS,3600.19,104644.0
OR30x250-0.75_7.dat-50,MibS,-1,None
n3div36_0_100,MibS,3600.01,None
BCPIns_8_7_3.txt_trad.txt_K5,MibS,69.17,2.0
interKP-500-100-3-2,MibS,3600.01,6011.0
normalClique60-70-10,MibS,3600.04,10.0
interKP-300-100-7-4,MibS,3600.07,5788.0
OR10x250-0.50_4.dat-100,MibS,3600.01,76382.0
interKP-400-100-2-6,MibS,3600.03,11056.0
interKP-400-100-4-3,MibS,3600.02,6149.0
weish23.dat-0,MibS,3600.01,3200.0
2AP05-7,MibS,15.71,-49.0
OR5x100-0.25_8.dat-100,MibS,3600.0,25401.0
interKP-300-100-8-6,MibS,3600.01,9752.0
OR10x100-0.75_4.dat-100,MibS,3600.0,23513.0
interKP-100-100-2-6,MibS,3600.0,2582.0
plusBCPIns_12_9_1,MibS,3600.0,4.0
OR30x500-0.75_8.dat-50,MibS,-1,None
stein27-0.900000,MibS,0.36,24.0
OR10x500-0.25_1.dat-100,MibS,3600.04,129036.0
weish25.dat-0,MibS,3600.0,3896.0
interKP-300-100-7-8,MibS,3600.02,5146.0
interKP-400-100-6-9,MibS,3600.07,4358.0
weish15.dat-0,MibS,3600.0,2846.0
T1-1-1,MibS,0.48,-119.0
interKP-500-100-1-2,MibS,3600.03,9073.0
normalClique40-90-4,MibS,3600.08,14.0
general30-30-20-20-20-4,MibS,3600.01,-168.0
rndgraph-25_1-3-3_015,MibS,60.93,6.0
xuLarge700-3,MibS,330.41,-102.652
OR30x250-0.50_3.dat-100,MibS,3600.03,77225.0
OR30x100-0.50_10.dat-0,MibS,3600.0,34749.0
OR5x250-0.75_8.dat-0,MibS,3600.02,56543.0
BCPIns_15_9_7.txt_trad.txt_K24,MibS,3600.0,5.0
p0033-0.500000,MibS,0.16,3095.0
interKP-200-100-7-8,MibS,3600.01,3596.0
neos-1337307_0_100,MibS,3600.05,None
xuLarge800-9,MibS,248.53,-104.571
bmilplib_260_1,MibS,4.51,-139.0
interKP-100-100-4-10,MibS,4.34,0.0
miblp_20_20_50_0110_5_13,MibS,0.17,-519.0
normalClique50-70-5,MibS,3600.06,10.0
tree-50_1-3-3_004,MibS,150.76,28.0
OR5x500-0.75_4.dat-100,MibS,3600.2,107731.0
general30-20-20-20-20-7,MibS,352.05,-79.0
mitre-0.100000,MibS,3600.0,122310.0
miblp_20_20_50_0110_5_17,MibS,0.12,-944.0
OR5x500-0.25_8.dat-50,MibS,3600.01,113597.0
xuLarge600-3,MibS,136.54,-96.2479
general20-20-10-20-20-1,MibS,32.22,100008.0
mod010-0.100000,MibS,1.08,6554.0
OR5x100-0.75_1.dat-0,MibS,3600.01,17827.0
interKP-400-100-2-1,MibS,3600.01,2185.0
general20-20-20-20-20-8,MibS,68.96,99801.0
s250r10_50_50,MibS,3604.68,None
interdiction55-10,MibS,57.03,178.0
K5030W13.KNP,MibS,3350.4,3152.0
OR10x100-0.25_7.dat-0,MibS,3600.0,20751.0
general30-30-20-20-20-2,MibS,3600.01,199818.0
OR30x500-0.25_3.dat-0,MibS,-1,None
normalClique40-70-1,MibS,3600.02,9.0
OR30x500-0.50_3.dat-100,MibS,3600.08,148928.0
OR30x500-0.25_4.dat-0,MibS,-1,None
interKP-500-100-2-8,MibS,3600.15,12603.0
OR10x100-0.25_6.dat-0,MibS,3602.35,21381.0
interKP-500-100-4-4,MibS,3600.02,9856.0
OR10x500-0.25_8.dat-100,MibS,3600.02,118222.0
OR30x250-0.25_8.dat-100,MibS,3600.03,60743.0
comp07-2idx_0_100,MibS,3600.01,None
general30-30-30-20-20-6,MibS,3600.02,199753.0
normalClique50-70-1,MibS,3600.05,10.0
K5030W02.KNP,MibS,3600.0,4376.0
plusBCPIns_8_7_4,MibS,46.78,3.0
general20-20-20-20-20-9,MibS,18.08,99936.0
OR30x100-0.50_3.dat-50,MibS,3600.01,36219.0
OR30x500-0.50_3.dat-50,MibS,-1,None
interKP-200-100-7-7,MibS,3600.02,5170.0
fiball_0_100,MibS,3600.04,None
normalClique50-70-10,MibS,3600.13,10.0
interKP-400-100-9-2,MibS,850.21,0.0
OR30x100-0.25_2.dat-0,MibS,3600.76,20163.0
tree-50_3-3-1_007,MibS,144.65,31.0
OR10x100-0.25_6.dat-100,MibS,3600.0,27184.0
OR30x500-0.50_1.dat-100,MibS,3600.1,148902.0
xuLarge500-8,MibS,71.53,-122.375
OR30x250-0.50_3.dat-50,MibS,-1,None
interKP-400-100-5-3,MibS,3600.03,6667.0
n3seq24_50_50,MibS,3600.47,70574200.0
general20-20-10-20-20-7,MibS,135.45,199654.0
OR5x100-0.75_6.dat-100,MibS,3600.03,21553.0
OR30x250-0.50_9.dat-50,MibS,-1,None
OR30x500-0.50_7.dat-0,MibS,-1,None
OR5x250-0.50_7.dat-100,MibS,3600.0,76937.0
OR5x500-0.75_9.dat-50,MibS,3600.07,106656.0
OR10x500-0.50_7.dat-0,MibS,-1,None
OR30x250-0.50_10.dat-0,MibS,-1,None
xuLarge700-10,MibS,103.38,-99.0
eil33-2_50_50,MibS,3600.1,None
interKP-300-100-3-5,MibS,3600.04,8191.0
BCPIns_12_9_9.txt_trad.txt_K15,MibS,3600.0,4.0
bmilplib_60_2,MibS,0.6,-144.667
bmilplib_60_4,MibS,0.49,-221.25
OR10x100-0.50_2.dat-50,MibS,3600.0,35980.0
OR10x500-0.50_9.dat-50,MibS,-1,None
hp2.dat-100,MibS,3600.0,3038.0
interKP-100-100-9-7,MibS,5.81,0.0
BCPIns_15_7_10.txt_trad.txt_K19,MibS,3600.0,4.0
interKP-500-100-6-2,MibS,3600.07,4651.0
OR30x100-0.50_8.dat-100,MibS,3600.01,30154.0
xuLarge900-9,MibS,336.27,-89.0
interKP-200-100-8-3,MibS,3600.0,3368.0
tree-25_1-3-3_015,MibS,10.71,12.0
OR10x500-0.75_9.dat-100,MibS,3600.0,103715.0
normalClique50-90-5,MibS,3600.04,17.0
OR5x250-0.75_1.dat-50,MibS,3600.02,56128.0
normalClique50-90-6,MibS,3600.14,18.0
OR30x250-0.50_5.dat-0,MibS,-1,None
miblp_20_20_50_0110_5_16,MibS,0.24,-833.0
general20-20-20-20-20-10,MibS,16.94,99703.0
interKP-200-100-4-4,MibS,3600.0,3947.0
K5040W11.KNP,MibS,3600.0,8176.0
OR10x500-0.25_2.dat-100,MibS,3600.05,127459.0
bmilplib_110_7,MibS,1.0,-160.864
OR5x500-0.50_8.dat-0,MibS,3750.75,216795.0
BCPIns_15_7_6.txt_trad.txt_K19,MibS,3600.0,4.0
